title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Luxurious 4BHK Apartment in Malleshwaram","Bangalore","Malleshwaram","4","2142","6","12","25","Semi-Furnished","South","Apartment","Buy","14204732","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Jayanagar","Bangalore","Jayanagar","3","1773","12","25","16","Furnished","North-West","Apartment","Rent","56971","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Indiranagar","Bangalore","Indiranagar","2","1147","5","20","4","Semi-Furnished","North","Villa","Buy","9890912","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Jayanagar","Bangalore","Jayanagar","1","727","13","25","22","Semi-Furnished","North-East","Independent House","Buy","4853805","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Hebbal","Bangalore","Hebbal","3","1392","2","5","21","Furnished","North","Apartment","Rent","50449","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Electronic City","Bangalore","Electronic City","3","1669","12","13","20","Furnished","West","Independent House","Buy","9849319","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Rajajinagar","Bangalore","Rajajinagar","2","1146","12","23","17","Unfurnished","South","Villa","Buy","7217465","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Indiranagar","Bangalore","Indiranagar","2","1089","17","17","22","Semi-Furnished","North-East","Apartment","Rent","36700","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Koramangala","Bangalore","Koramangala","2","1276","15","24","9","Semi-Furnished","North-East","Builder Floor","Buy","11901196","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Marathahalli","Bangalore","Marathahalli","3","1550","7","17","1","Semi-Furnished","North-East","Apartment","Buy","11448548","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Koramangala","Bangalore","Koramangala","1","794","20","26","24","Furnished","North","Villa","Rent","22675","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Bannerghatta Road","Bangalore","Bannerghatta Road","3","1038","10","21","24","Furnished","South-West","Apartment","Rent","42611","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Villa in Yelahanka","Bangalore","Yelahanka","5","1833","","3","14","Furnished","South","Villa","Buy","9075285","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","2","821","10","13","15","Semi-Furnished","South-West","Builder Floor","Rent","41014","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Sarjapur","Bangalore","Sarjapur","2","1497","2","13","14","Semi-Furnished","South-East","Independent House","Rent","30660","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Marathahalli","Bangalore","Marathahalli","4","1387","6","21","3","Semi-Furnished","West","Builder Floor","Buy","10000724","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Hebbal","Bangalore","Hebbal","3","1371","3","3","","Furnished","West","Apartment","Buy","12683433","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in HSR Layout","Bangalore","HSR Layout","2","876","10","18","2","Furnished","South-West","Villa","Buy","7428315","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Jayanagar","Bangalore","Jayanagar","3","1505","2","3","25","Semi-Furnished","South-West","Apartment","Buy","10629377","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","2","791","17","18","3","Unfurnished","South-East","Builder Floor","Buy","4684026","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Whitefield","Bangalore","Whitefield","4","2113","15","21","6","Unfurnished","North","Studio","Rent","59574","true","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Bellandur","Bangalore","Bellandur","1","569","6","12","19","Semi-Furnished","East","Independent House","Buy","3341396","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in HSR Layout","Bangalore","HSR Layout","2","906","7","11","23","Unfurnished","North","Villa","Rent","33943","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Hebbal","Bangalore","Hebbal","2","1385","11","26","17","Furnished","North-East","Independent House","Buy","9423213","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Indiranagar","Bangalore","Indiranagar","1","737","3","11","","Semi-Furnished","North-West","Studio","Rent","20416","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","3","1548","14","17","5","Unfurnished","South-West","Builder Floor","Buy","8995611","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Yelahanka","Bangalore","Yelahanka","2","982","8","8","11","Furnished","North","Studio","Buy","5489005","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Whitefield","Bangalore","Whitefield","2","1183","3","13","20","Semi-Furnished","West","Apartment","Rent","32951","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in Marathahalli","Bangalore","Marathahalli","5","1829","16","24","","Furnished","West","Studio","Buy","13867301","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Hebbal","Bangalore","Hebbal","4","1407","4","8","19","Furnished","East","Independent House","Buy","10268736","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Yelahanka","Bangalore","Yelahanka","3","1525","2","2","3","Unfurnished","East","Studio","Buy","8085680","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Jayanagar","Bangalore","Jayanagar","4","1400","19","30","16","Unfurnished","North-East","Studio","Buy","10152791","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Rajajinagar","Bangalore","Rajajinagar","4","2192","14","19","1","Unfurnished","East","Apartment","Rent","63378","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Sarjapur","Bangalore","Sarjapur","4","1944","20","20","9","Unfurnished","North-West","Independent House","Buy","12715598","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Sarjapur","Bangalore","Sarjapur","3","1337","2","2","23","Semi-Furnished","West","Independent House","Buy","7403449","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Whitefield","Bangalore","Whitefield","3","1340","6","10","22","Furnished","North","Villa","Buy","8537995","","true","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Villa in Koramangala","Bangalore","Koramangala","5","2338","10","21","17","Furnished","North-East","Villa","Buy","21215915","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Indiranagar","Bangalore","Indiranagar","2","780","19","34","11","Unfurnished","North-East","Apartment","Buy","6070687","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Hebbal","Bangalore","Hebbal","2","840","12","21","11","Furnished","North-West","Apartment","Buy","6920991","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Hebbal","Bangalore","Hebbal","4","2062","19","28","16","Unfurnished","South-East","Studio","Buy","13834549","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Bannerghatta Road","Bangalore","Bannerghatta Road","3","929","1","3","22","Furnished","East","Apartment","Buy","4837886","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Jayanagar","Bangalore","Jayanagar","2","1261","8","14","13","Furnished","North-East","Apartment","Buy","11078854","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Marathahalli","Bangalore","Marathahalli","3","1566","5","10","17","Furnished","South-East","Independent House","Buy","9831352","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Koramangala","Bangalore","Koramangala","4","1547","5","5","23","Furnished","North-East","Studio","Rent","91609","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Electronic City","Bangalore","Electronic City","1","993","11","26","17","Semi-Furnished","North","Apartment","Buy","5215116","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Whitefield","Bangalore","Whitefield","2","1145","9","22","25","Semi-Furnished","South-West","Apartment","Rent","29595","","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Electronic City","Bangalore","Electronic City","1","961","13","26","12","Semi-Furnished","North-East","Apartment","Rent","13380","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Yelahanka","Bangalore","Yelahanka","4","1204","19","32","17","Furnished","North-East","Villa","Buy","6333283","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in JP Nagar","Bangalore","JP Nagar","3","1369","5","12","14","Unfurnished","North-West","Villa","Buy","8422633","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Sarjapur","Bangalore","Sarjapur","4","1736","3","17","4","Furnished","East","Independent House","Buy","12426194","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Sarjapur","Bangalore","Sarjapur","3","1368","16","19","25","Unfurnished","North-East","Apartment","Buy","6960025","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Bellandur","Bangalore","Bellandur","4","1548","8","23","6","Furnished","North-East","Apartment","Rent","68882","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Bannerghatta Road","Bangalore","Bannerghatta Road","3","858","17","29","11","Semi-Furnished","South-East","Apartment","Buy","5406133","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Electronic City","Bangalore","Electronic City","2","1251","11","18","25","Furnished","South-East","Villa","Rent","27818","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in JP Nagar","Bangalore","JP Nagar","2","711","9","19","","Furnished","South","Builder Floor","Buy","5948909","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","3","1128","14","20","12","Furnished","South-West","Independent House","Buy","7801053","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Hebbal","Bangalore","Hebbal","5","1538","","7","21","Semi-Furnished","South-West","Villa","Buy","9279064","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Marathahalli","Bangalore","Marathahalli","3","1548","3","5","24","Semi-Furnished","South-West","Independent House","Rent","45761","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Rajajinagar","Bangalore","Rajajinagar","3","1333","2","10","17","Furnished","North-East","Builder Floor","Buy","9442615","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Villa in Electronic City","Bangalore","Electronic City","5","1627","17","31","20","Semi-Furnished","North-East","Villa","Buy","8438543","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Marathahalli","Bangalore","Marathahalli","4","2122","14","16","6","Unfurnished","West","Independent House","Buy","13659416","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Rajajinagar","Bangalore","Rajajinagar","4","2186","","11","3","Semi-Furnished","South-East","Studio","Rent","69370","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Sarjapur","Bangalore","Sarjapur","3","1276","8","9","19","Semi-Furnished","South-East","Builder Floor","Buy","7743202","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Electronic City","Bangalore","Electronic City","3","1295","10","11","12","Semi-Furnished","North-East","Villa","Buy","7833399","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Hebbal","Bangalore","Hebbal","5","1690","6","18","15","Semi-Furnished","East","Apartment","Rent","84854","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Indiranagar","Bangalore","Indiranagar","5","1783","16","18","18","Furnished","North-West","Apartment","Rent","114647","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Malleshwaram","Bangalore","Malleshwaram","4","1141","18","27","21","Unfurnished","East","Apartment","Buy","7324311","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Electronic City","Bangalore","Electronic City","2","1475","12","19","14","Unfurnished","West","Independent House","Rent","24798","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Electronic City","Bangalore","Electronic City","2","1321","2","5","1","Furnished","South-West","Apartment","Rent","29112","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Electronic City","Bangalore","Electronic City","4","1455","4","16","21","Unfurnished","East","Apartment","Buy","6318571","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Yelahanka","Bangalore","Yelahanka","2","1075","10","14","16","Unfurnished","South","Studio","Rent","23647","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","5","1876","17","30","10","Semi-Furnished","North-East","Builder Floor","Buy","16591672","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Hebbal","Bangalore","Hebbal","3","1372","11","18","16","Unfurnished","South-East","Studio","Buy","8928412","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Sarjapur","Bangalore","Sarjapur","2","1255","19","19","15","Unfurnished","South","Independent House","Buy","7107912","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Bellandur","Bangalore","Bellandur","4","1412","","5","9","Furnished","East","Studio","Buy","10462165","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Jayanagar","Bangalore","Jayanagar","4","2197","6","20","","Semi-Furnished","West","Builder Floor","Buy","20452446","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Jayanagar","Bangalore","Jayanagar","2","994","6","21","3","Semi-Furnished","West","Builder Floor","Buy","8527658","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in HSR Layout","Bangalore","HSR Layout","3","1710","2","8","20","Unfurnished","South-West","Independent House","Buy","11146127","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Hebbal","Bangalore","Hebbal","3","1153","7","17","8","Semi-Furnished","East","Studio","Rent","52096","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Bellandur","Bangalore","Bellandur","3","1514","14","23","20","Semi-Furnished","South-East","Independent House","Buy","9295047","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Sarjapur","Bangalore","Sarjapur","2","1334","4","18","8","Semi-Furnished","North","Studio","Buy","7804295","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Malleshwaram","Bangalore","Malleshwaram","3","908","","6","15","Semi-Furnished","North-West","Builder Floor","Buy","7071507","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Yelahanka","Bangalore","Yelahanka","2","1114","18","20","9","Unfurnished","East","Independent House","Buy","5951643","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in JP Nagar","Bangalore","JP Nagar","1","1000","13","13","1","Semi-Furnished","North-East","Independent House","Buy","7619778","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Bellandur","Bangalore","Bellandur","1","845","2","6","16","Semi-Furnished","West","Villa","Buy","5665873","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","2","804","10","10","11","Furnished","South-West","Builder Floor","Buy","5617558","","true","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Villa in Electronic City","Bangalore","Electronic City","5","1265","14","28","23","Furnished","North","Villa","Buy","6591881","","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in JP Nagar","Bangalore","JP Nagar","3","1199","3","6","17","Semi-Furnished","South-East","Villa","Buy","8029387","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Whitefield","Bangalore","Whitefield","2","1026","17","21","14","Semi-Furnished","North-East","Independent House","Buy","6848204","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Indiranagar","Bangalore","Indiranagar","3","1134","14","19","15","Furnished","North-East","Studio","Buy","9501703","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","3","1822","8","23","5","Unfurnished","North-West","Independent House","Buy","11042445","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Andheri West","Mumbai","Andheri West","1","750","6","6","18","Semi-Furnished","East","Studio","Rent","31651","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Borivali","Mumbai","Borivali","3","1297","12","22","16","Unfurnished","South","Builder Floor","Buy","17726137","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Versova","Mumbai","Versova","2","1106","15","19","6","Unfurnished","North","Builder Floor","Rent","50178","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Apartment in Navi Mumbai","Mumbai","Navi Mumbai","5","2195","6","15","16","Semi-Furnished","North-East","Apartment","Buy","21864158","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Dahisar","Mumbai","Dahisar","2","1367","3","18","13","Furnished","West","Builder Floor","Rent","41871","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Juhu","Mumbai","Juhu","3","1607","18","30","10","Semi-Furnished","East","Independent House","Rent","130030","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Dahisar","Mumbai","Dahisar","5","2190","19","19","13","Unfurnished","North-East","Villa","Rent","89378","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Bandra West","Mumbai","Bandra West","2","779","4","10","21","Furnished","West","Builder Floor","Buy","25031371","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Kandivali","Mumbai","Kandivali","3","977","19","29","13","Semi-Furnished","North","Villa","Buy","13977193","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Thane","Mumbai","Thane","3","1776","1","14","14","Unfurnished","North-West","Independent House","Buy","19092756","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Navi Mumbai","Mumbai","Navi Mumbai","2","1202","2","16","24","Semi-Furnished","East","Independent House","Buy","10198377","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Lower Parel","Mumbai","Lower Parel","3","1515","3","4","17","Furnished","North-West","Studio","Buy","47375061","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Goregaon","Mumbai","Goregaon","2","1245","15","26","6","Semi-Furnished","East","Villa","Buy","24355944","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Worli","Mumbai","Worli","3","1715","5","18","15","Semi-Furnished","South-East","Independent House","Buy","49390347","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Juhu","Mumbai","Juhu","2","1239","14","27","25","Furnished","East","Villa","Rent","99551","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Navi Mumbai","Mumbai","Navi Mumbai","2","755","13","23","","Furnished","North","Studio","Rent","34282","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Thane","Mumbai","Thane","4","1515","14","18","13","Unfurnished","West","Villa","Buy","17191403","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Goregaon","Mumbai","Goregaon","2","1084","12","26","12","Semi-Furnished","South-East","Studio","Buy","18523876","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Lower Parel","Mumbai","Lower Parel","2","1060","4","10","18","Semi-Furnished","West","Independent House","Rent","94883","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Dahisar","Mumbai","Dahisar","2","878","1","6","19","Semi-Furnished","East","Builder Floor","Rent","37551","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Versova","Mumbai","Versova","4","1462","2","10","8","Furnished","North-West","Studio","Buy","29149519","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Juhu","Mumbai","Juhu","3","1545","7","14","22","Furnished","East","Builder Floor","Buy","47002992","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Borivali","Mumbai","Borivali","3","1819","13","26","17","Semi-Furnished","South","Apartment","Buy","25285102","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Malad","Mumbai","Malad","3","1483","11","23","15","Semi-Furnished","West","Studio","Rent","68916","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Mira Road","Mumbai","Mira Road","3","1685","16","24","9","Semi-Furnished","South-East","Studio","Rent","45338","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Borivali","Mumbai","Borivali","5","2496","16","26","20","Unfurnished","North-East","Independent House","Buy","30566773","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Powai","Mumbai","Powai","4","1160","6","11","13","Semi-Furnished","West","Independent House","Buy","24108396","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Navi Mumbai","Mumbai","Navi Mumbai","2","1010","3","8","4","Semi-Furnished","West","Independent House","Buy","12254797","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Worli","Mumbai","Worli","3","1146","","1","11","Unfurnished","South-West","Apartment","Rent","138056","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Mira Road","Mumbai","Mira Road","1","759","","4","1","Semi-Furnished","North","Independent House","Buy","8399859","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Versova","Mumbai","Versova","1","574","5","6","7","Unfurnished","West","Villa","Rent","28234","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Andheri West","Mumbai","Andheri West","4","1232","18","22","8","Furnished","South-West","Builder Floor","Buy","31165586","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Bandra West","Mumbai","Bandra West","3","879","13","14","8","Unfurnished","North-West","Apartment","Buy","32386889","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Versova","Mumbai","Versova","2","1442","9","20","20","Furnished","East","Villa","Buy","23921741","","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Navi Mumbai","Mumbai","Navi Mumbai","1","1134","3","3","2","Semi-Furnished","North","Studio","Buy","15023136","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Worli","Mumbai","Worli","5","1937","16","18","13","Unfurnished","North-East","Independent House","Rent","224601","","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Bandra West","Mumbai","Bandra West","3","1358","14","23","6","Semi-Furnished","North","Apartment","Rent","154843","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Kandivali","Mumbai","Kandivali","4","2047","3","3","15","Semi-Furnished","South-East","Independent House","Buy","29346143","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Kandivali","Mumbai","Kandivali","1","1019","5","11","2","Unfurnished","North","Villa","Rent","23662","","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Worli","Mumbai","Worli","2","1267","","1","","Unfurnished","South-West","Apartment","Rent","91799","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Lower Parel","Mumbai","Lower Parel","3","1084","15","15","19","Semi-Furnished","West","Villa","Buy","29612713","true","true","Rajesh Kumar","+91-9432109876"
